index,txn_type,from,to,date,eth,punk_id,type_str,USD
50,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,111,Male,0.0
51,Transfer,0x582fa7,0x9ef55a,2021-05-15,0.0,116,Female,0.0
52,Sold,0x436a4a,0x9179de,2021-05-04,20.45,118,Female,66322.73750139549
53,Sold,0x394547,0x436a4a,2021-03-11,20.25,118,Female,36924.434169165
54,Transfer,0x2cbee4,0x394547,2021-03-06,0.0,118,Female,0.0
55,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,118,Female,0.0
56,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,118,Female,0.0
57,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,119,Male,0.0
58,Transfer,0x2cbee4,0x78e96b,2021-03-07,0.0,122,Male,0.0
59,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,122,Male,0.0
60,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,122,Male,0.0
61,Transfer,0xedd776,jans.eth,2021-09-18,0.0,124,Male,0.0
62,Transfer,0x8bfe24,0xedd776,2021-08-23,0.0,124,Male,0.0
63,Sold,0xf25e63,0x8bfe24,2021-06-10,17.0,124,Male,41887.322705039995
64,Sold,0x84c920,0xf25e63,2021-03-08,19.9,124,Male,36435.859871377
65,Sold,0x51636d,0x84c920,2021-03-07,15.0,124,Male,25902.10601145
66,Transfer,0x2cbee4,0x51636d,2021-03-06,0.0,124,Male,0.0
67,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,124,Male,0.0
68,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,124,Male,0.0
69,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,127,Female,0.0
70,Transfer,0xe34bde,0xb88f61,2021-02-05,0.0,136,Male,0.0
71,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,136,Male,0.0
72,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,136,Male,0.0
73,Sold,0x1919db,1conf.et…,2021-08-23,57.99,138,Male,192647.6674459116
74,Sold,0x22fa8c,0x1919db,2021-08-15,42.0,138,Male,139077.2142564
75,Transfer,0xf4b465,0x2f086b,2021-04-09,0.0,138,Male,0.0
76,Sold,0x380236,0xdde0b7,2021-04-06,15.95,138,Male,33749.882698994
77,Transfer,0x380236,0xc82b75,2021-04-06,0.0,138,Male,0.0
78,Sold,0x753b20,0x380236,2021-04-06,15.25,138,Male,32268.69662443
79,Sold,0xd4442b,0x753b20,2021-04-06,14.5,138,Male,30681.711544539998
80,Sold,0xf98a39,0xd4442b,2021-04-06,14.0,138,Male,29623.721491279997
81,Transfer,0x2cbee4,0xf98a39,2021-03-06,0.0,138,Male,0.0
82,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,138,Male,0.0
83,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,138,Male,0.0
84,Sold,0x7c0830,0xf605c6,2021-08-27,87.9,139,Male,287962.857856284
85,Sold,0x60d4b1,0x7c0830,2021-08-19,45.99,139,Male,146475.775982403
86,Sold,0xaedaf3,0x60d4b1,2021-08-05,45.99,139,Male,130097.15955115741
87,Sold,iportfol…,0xaedaf3,2021-03-11,24.99,139,Male,45567.4869080214
88,Transfer,0x2cbee4,iportfol…,2021-03-06,0.0,139,Male,0.0
89,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,139,Male,0.0
90,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,139,Male,0.0
91,Sold,0x285be4,0x78e6fe,2021-07-27,39.5,141,Male,90987.739338865
92,Transfer,0xd79165,0x285be4,2021-04-06,0.0,141,Male,0.0
93,Sold,0x50dd57,0xd79165,2021-04-06,33.99,141,Male,71922.1638206148
94,Transfer,0xb1adce,0x50dd57,2021-03-16,0.0,141,Male,0.0
95,Transfer,0x2cbee4,0xb1adce,2021-03-07,0.0,141,Male,0.0
96,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,141,Male,0.0
97,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,141,Male,0.0
98,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,142,Male,0.0
99,Sold,0x09d408,0x9cb8c1,2021-07-04,180.0,143,Male,418144.847832
100,Sold,MrTpunks,0x09d408,2021-03-14,165.0,143,Male,305169.07532265
101,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,144,Male,0.0
102,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,146,Male,0.0
103,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,147,Male,0.0
104,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,149,Male,0.0
105,Sold,0x1919db,0x53fc45,2021-10-02,138.99,150,Female,471176.10000000003
106,Sold,0xfeeb2d,0x1919db,2021-10-01,128.0,150,Female,423849.09215616
107,Transfer,0xc352b5,0xfeeb2d,2021-04-21,0.0,150,Female,0.0
108,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,151,Male,0.0
109,Transfer,0xe34bde,0xb88f61,2021-02-05,0.0,152,Male,0.0
110,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,152,Male,0.0
111,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,152,Male,0.0
112,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,153,Male,0.0
113,Transfer,Michel_M…,0xca5e7f,2021-03-14,0.0,155,Male,0.0
114,Sold,0x1da533,Michel_M…,2021-01-31,25.0,155,Male,32933.077408000005
115,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,156,Male,0.0
116,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,157,Male,0.0
117,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,158,Male,0.0
118,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,159,Male,0.0
119,Sold,0x565496,0x24f270,2021-04-21,53.0,160,Female,125289.45832616999
120,Sold,0x54d7f9,0x565496,2021-03-03,40.0,160,Female,62775.510204000006
121,Sold,0xc352b5,0x54d7f9,2021-02-19,30.0,160,Female,58725.0
122,Sold,0x62bdc6,0xf605c6,2021-08-27,89.47,161,Female,293106.2217565612
123,Sold,0x88bc3e,0x62bdc6,2021-08-27,77.0,161,Female,252254.15307092
124,Transfer,jawns.et…,0x88bc3e,2021-04-29,0.0,161,Female,0.0
125,Sold,0x3634f3,jawns.et…,2021-04-28,22.21,161,Female,61072.29275733731
126,Sold,Pranksy,0x3634f3,2021-04-05,17.0,161,Female,35794.420827949994
127,Transfer,Pranksy,0x776758,2021-03-30,0.0,161,Female,0.0
128,Transfer,0xc352b5,Pranksy,2021-02-18,0.0,161,Female,0.0
129,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,162,Male,0.0
130,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,163,Male,0.0
131,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,165,Male,0.0
132,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,166,Male,0.0
133,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,167,Female,0.0
134,Sold,0xc352b5,TokenAng…,2021-01-06,25.0,168,Female,30220.7734395
135,Sold,laz.eth,0xcfc505,2021-07-31,56.0,169,Female,141643.6627284
136,Sold,Slats_et…,laz.eth,2021-04-10,45.0,169,Female,96207.858765
137,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,170,Male,0.0
138,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,171,Male,0.0
139,Transfer,steamer.…,0x1a5787,2021-08-25,0.0,173,Female,0.0
140,Transfer,punk173.…,steamer.…,2021-08-25,0.0,173,Female,0.0
141,Transfer,0x000000,punk173.…,2021-08-24,0.0,173,Female,0.0
142,Sold,yfimaxi.…,0x000000,2021-08-23,99.9,173,Female,331876.219655916
143,Sold,0xc352b5,yfimaxi.…,2021-02-23,50.0,173,Female,78701.373654
144,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,174,Male,0.0
145,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,175,Male,0.0
146,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,177,Male,0.0
147,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,179,Male,0.0
148,Transfer,0xc352b5,0xfeeb2d,2021-04-21,0.0,180,Female,0.0
149,Transfer,sunfire.…,0x06e13b,2021-08-13,0.0,186,Male,0.0
150,Sold,0xc9d963,sunfire.…,2021-07-15,21.5,186,Male,41230.96267272
151,Transfer,0x2cbee4,0xc9d963,2021-03-06,0.0,186,Male,0.0
152,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,186,Male,0.0
153,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,186,Male,0.0
154,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,188,Male,0.0
155,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,189,Female,0.0
156,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,192,Male,0.0
157,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,193,Female,0.0
158,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,194,Male,0.0
159,Sold,0xc352b5,0xc06dbd,2021-02-05,16.0,195,Female,27602.80995088
160,Transfer,0x2cbee4,0x5bf18d,2021-03-07,0.0,197,Male,0.0
161,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,197,Male,0.0
162,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,197,Male,0.0
163,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,201,Female,0.0
164,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,202,Female,0.0
165,Sold,0x904e43,0x3257d0,2021-10-05,128.88,203,Male,453411.1224477576
166,Sold,0xd1c441,0x904e43,2021-09-30,121.0,203,Male,363185.56578997
167,Sold,nftguild…,0xd1c441,2021-08-28,150.0,203,Male,487056.700929
168,Sold,0xa201d0,nftguild…,2021-04-08,29.99,203,Male,62315.97922811749
169,Transfer,0x2cbee4,0xa201d0,2021-03-07,0.0,203,Male,0.0
170,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,203,Male,0.0
171,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,203,Male,0.0
172,Transfer,0x2cbee4,tazzy.et…,2021-03-06,0.0,204,Male,0.0
173,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,204,Male,0.0
174,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,204,Male,0.0
175,Transfer,0x2cbee4,0xae7721,2021-03-06,0.0,205,Male,0.0
176,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,205,Male,0.0
177,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,205,Male,0.0
178,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,206,Male,0.0
179,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,208,Male,0.0
180,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,209,Female,0.0
181,Sold,cryptoke…,gmoney,2021-07-26,21.5,211,Male,47972.420528745
182,Transfer,cryptoke…,0x147027,2021-06-14,0.0,211,Male,0.0
183,Transfer,0x2cbee4,cryptoke…,2021-03-06,0.0,211,Male,0.0
184,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,211,Male,0.0
185,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,211,Male,0.0
186,Transfer,0x2cbee4,0xd7e683,2021-03-07,0.0,214,Male,0.0
187,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,214,Male,0.0
188,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,214,Male,0.0
189,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,217,Male,0.0
190,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,218,Male,0.0
191,Transfer,0x950012,sillytun…,2021-08-08,0.0,220,Male,0.0
192,Transfer,sillytun…,0x950012,2021-07-15,0.0,220,Male,0.0
193,Transfer,0x2cbee4,sillytun…,2021-03-07,0.0,220,Male,0.0
194,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,220,Male,0.0
195,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,220,Male,0.0
196,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,221,Male,0.0
197,Transfer,0xe34bde,0xfd9065,2021-02-04,0.0,222,Male,0.0
198,Transfer,0xc352b5,0xe34bde,2021-02-04,0.0,222,Male,0.0
199,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,223,Male,0.0
200,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,224,Male,0.0
201,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,228,Male,0.0
202,Transfer,0x1919db,,2021-10-04,0.0,229,Male,0.0
203,Transfer,0x1919db,,2021-10-04,0.0,229,Male,0.0
204,Transfer,0x1919db,,2021-10-04,0.0,229,Male,0.0
205,Sold,0x762ec7,0x1919db,2021-10-04,120.0,229,Male,406102.408812
206,Transfer,0xcfd9cc,0x762ec7,2021-08-14,0.0,229,Male,0.0
207,Transfer,0x2cbee4,0xcfd9cc,2021-03-06,0.0,229,Male,0.0
208,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,229,Male,0.0
209,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,229,Male,0.0
210,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,230,Male,0.0
211,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,232,Female,0.0
212,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,233,Female,0.0
213,Sold,0xdf985c,yeastydo…,2021-08-06,69.0,234,Male,199590.20989991998
214,Sold,0x5ad2d7,0xdf985c,2021-07-03,24.99,234,Male,55661.8675937499
215,Transfer,0x2cbee4,0x5ad2d7,2021-03-06,0.0,234,Male,0.0
216,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,234,Male,0.0
217,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,234,Male,0.0
218,Transfer,0x2cbee4,0xd7510a,2021-03-06,0.0,235,Male,0.0
219,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,235,Male,0.0
220,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,235,Male,0.0
221,Transfer,0x2cbee4,0x47398f,2021-03-06,0.0,236,Male,0.0
222,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,236,Male,0.0
223,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,236,Male,0.0
224,Transfer,0x2cbee4,cryptopu…,2021-03-06,0.0,237,Male,0.0
225,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,237,Male,0.0
226,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,237,Male,0.0
227,Transfer,0x2cbee4,0xee269a,2021-03-07,0.0,238,Female,0.0
228,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,238,Female,0.0
229,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,238,Female,0.0
230,Transfer,0x650dcd,0xa5f05c,2021-08-28,0.0,239,Male,0.0
231,Transfer,0x24e267,0x650dcd,2021-08-27,0.0,239,Male,0.0
232,Transfer,0x650dcd,0x24e267,2021-08-07,0.0,239,Male,0.0
233,Sold,0xe664f5,0x650dcd,2021-07-30,23.95,239,Male,58971.4424921525
234,Transfer,abx.eth,0xe664f5,2021-07-29,0.0,239,Male,0.0
235,Sold,seel.eth,abx.eth,2021-07-29,21.9,239,Male,52205.081208969
236,Transfer,kirinpar…,0x3d368a,2021-05-03,0.0,239,Male,0.0
237,Sold,cryptoke…,0x62bdc6,2021-04-27,21.0,239,Male,56048.056087590005
238,Sold,Zonked,cryptoke…,2021-04-25,19.49,239,Male,45227.392971114896
239,Transfer,0xa98ed8,0x8b35a8,2021-03-08,0.0,239,Male,0.0
240,Transfer,0x2cbee4,0xa98ed8,2021-03-07,0.0,239,Male,0.0
241,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,239,Male,0.0
242,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,239,Male,0.0
243,Sold,punkpist…,0x3e9dac,2021-07-28,44.0,240,Female,101126.04687591999
244,Sold,ark1,punkpist…,2021-07-13,39.0,240,Female,75682.21037052
245,Transfer,mysha,ark1,2021-07-09,0.0,240,Female,0.0
246,Transfer,daddykal…,mysha,2021-07-08,0.0,240,Female,0.0
247,Sold,Slats_et…,daddykal…,2021-04-19,50.0,240,Female,108216.36869999999
248,Transfer,0x0601d0,0x31a5ff,2021-08-07,0.0,241,Female,0.0
249,Transfer,0x2cbee4,0x3fb537,2021-03-07,0.0,242,Female,0.0
250,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,242,Female,0.0
251,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,242,Female,0.0
252,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,244,Female,0.0
253,Transfer,0x2cbee4,barthazi…,2021-03-07,0.0,246,Male,0.0
254,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,246,Male,0.0
255,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,246,Male,0.0
256,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,247,Female,0.0
257,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,248,Female,0.0
258,Transfer,sov,sov.eth,2021-04-25,0.0,249,Female,0.0
259,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,250,Female,0.0
260,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,251,Female,0.0
261,Transfer,0x73a6a0,0x05d207,2021-08-10,0.0,252,Male,0.0
262,Sold,j0nnym0.…,0x73a6a0,2021-08-01,42.0,252,Male,107380.51189152001
263,Sold,sumrtime…,j0nnym0.…,2021-07-16,25.0,252,Male,46904.96068325
264,Transfer,0x2cbee4,sumrtime…,2021-03-07,0.0,252,Male,0.0
265,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,252,Male,0.0
266,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,252,Male,0.0
267,Transfer,0x2cbee4,0xee269a,2021-03-07,0.0,255,Male,0.0
268,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,255,Male,0.0
269,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,255,Male,0.0
270,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,256,Male,0.0
271,Transfer,0x09d408,,2021-10-04,0.0,257,Male,0.0
272,Sold,0x186980,0x09d408,2021-08-23,74.0,257,Male,245834.23678215998
273,Sold,0x2fb1a2,0x186980,2021-08-06,69.99,257,Male,202453.89552022316
274,Sold,colether…,0x2fb1a2,2021-08-03,45.0,257,Male,112867.36168725001
275,Sold,0x63d4a5,colether…,2021-08-01,38.0,257,Male,97153.79647328
276,Transfer,0x8f8b47,0x63d4a5,2021-06-30,0.0,257,Male,0.0
277,Sold,mrussl.e…,0x8f8b47,2021-03-24,27.0,257,Male,42720.2560917
278,Sold,0x65ba4f,mrussl.e…,2021-03-12,24.5,257,Male,43349.99999995
279,Transfer,0x2cbee4,0x65ba4f,2021-03-07,0.0,257,Male,0.0
280,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,257,Male,0.0
281,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,257,Male,0.0
282,Transfer,0x53f2a3,0x096abb,2021-08-23,0.0,258,Male,0.0
283,Sold,0x1919db,0x53f2a3,2021-07-31,34.0,258,Male,85997.9380851
284,Sold,jaindl.e…,0x1919db,2021-07-30,23.99,258,Male,59069.9334190705
285,Transfer,0x7be6e9,jaindl.e…,2021-07-05,0.0,258,Male,0.0
286,Sold,sillytun…,0x7be6e9,2021-06-30,19.0,258,Male,43219.85280272
287,Transfer,0x950012,sillytun…,2021-05-25,0.0,258,Male,0.0
288,Transfer,sillytun…,0x950012,2021-05-25,0.0,258,Male,0.0
289,Transfer,0x2cbee4,sillytun…,2021-03-07,0.0,258,Male,0.0
290,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,258,Male,0.0
291,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,258,Male,0.0
292,Sold,0xb0182a,0x3d0f7f,2021-10-03,143.0,259,Male,488952.76302301
293,Sold,nftboi.pxg.eth,0xb0182a,2021-10-03,143.0,259,Male,488952.76302301
294,Transfer,nftboi.p…,nftboi.p…,2021-08-23,0.0,259,Male,0.0
295,Sold,runhot99…,nftboi.p…,2021-08-23,85.5,259,Male,284038.20601182
296,Transfer,runhot99…,runhot99…,2021-06-12,0.0,259,Male,0.0
297,Sold,0xb73d34,runhot99…,2021-04-06,24.75,259,Male,52370.50763637
298,Sold,0x758acc,0xb73d34,2021-03-09,18.5,259,Male,34621.42857127
299,Transfer,0x2cbee4,0x758acc,2021-03-07,0.0,259,Male,0.0
300,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,259,Male,0.0
301,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,259,Male,0.0
302,Sold,0xa34d2d,0xebc8ff,2021-08-06,175.0,260,Male,506207.05409399996
303,Sold,tomjohn.…,0xa34d2d,2021-06-23,60.0,260,Male,118070.5891116
304,Sold,anonymou…,tomjohn.…,2021-06-06,32.5,260,Male,88219.647446775
305,Sold,0x4c9692,anonymou…,2021-05-14,32.43,260,Male,132433.3114296225
306,Sold,0xc352b5,0x4c9692,2021-05-06,60.0,260,Male,209327.1607602
307,Sold,0x7131a7,0x702a39,2021-08-25,107.0,263,Male,345512.66945625
308,Transfer,0x5fb6e7,0x7131a7,2021-03-21,0.0,263,Male,0.0
309,Transfer,ykm.eth,0x5fb6e7,2021-03-07,0.0,263,Male,0.0
310,Transfer,0x2cbee4,ykm.eth,2021-03-07,0.0,263,Male,0.0
311,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,263,Male,0.0
312,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,263,Male,0.0
313,Sold,0xc352b5,0x8c6e56,2021-01-27,8.7,264,Female,10875.441583029
314,Transfer,0x5ea968,gary.vee…,2021-08-13,0.0,265,Male,0.0
315,Transfer,DANNY,0x5ea968,2021-02-18,0.0,265,Male,0.0
316,Transfer,0xc352b5,DANNY,2021-02-18,0.0,265,Male,0.0
317,Transfer,0x2cbee4,0x004aa3,2021-03-06,0.0,266,Male,0.0
318,Transfer,0x35388c,0x2cbee4,2021-03-05,0.0,266,Male,0.0
319,Transfer,0xc352b5,0x35388c,2021-02-04,0.0,266,Male,0.0
320,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,267,Male,0.0
321,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,270,Female,0.0
322,Transfer,0xdcf227,0xf18fce,2021-08-11,0.0,273,Male,0.0
323,Sold,Deeze,0xdcf227,2021-03-03,26.5,273,Male,41588.77551015
324,Sold,whiterab…,Deeze,2021-03-03,20.0,273,Male,31387.755102000003
325,Transfer,0xc352b5,0xb88f61,2021-02-05,0.0,274,Male,0.0
326,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,275,Female,0.0
327,Transfer,0xc352b5,0x4d8e16,2021-03-19,0.0,282,Female,0.0
328,Sold,0xef3dff,0x717403,2021-03-12,0.21,283,Female,371.571428571
329,Sold,Pranksy,0xef3dff,2021-03-12,27.49,283,Female,48640.469387699
330,Transfer,0xc352b5,Pranksy,2021-02-18,0.0,283,Female,0.0
331,Sold,0x29b1b2,0x05083f,2021-03-13,31.99,285,Female,61432.1944394046
332,Sold,Pranksy,0x29b1b2,2021-02-24,29.99,285,Female,48758.848256125
333,Transfer,0xc352b5,Pranksy,2021-02-18,0.0,285,Female,0.0
334,Transfer,0x117026,bewd.eth,2021-08-08,0.0,286,Male,0.0
335,Sold,0x04686d,0x117026,2021-08-06,55.5,286,Male,160539.95144124
336,Sold,redlione…,0x04686d,2021-07-31,49.99,286,Male,126442.26249629851
